# Tools/NetStandardCompat/grid-netstandard.tsv -- generated by gen-grid-netstandard.ps1. Do
# not hand-edit; re-run that script instead. See its own header comment for the full
# rationale (34 bodies: SE_SUN..SE_EARTH plus every SE_* fictitious-body constant, x 3
# epochs, SEFLG_MOSEPH|SEFLG_SPEED, swe_calc only -- 102 rows).
#
# case_id  func-agnostic (this grid has one func, swe_calc, so no func column)
# ipl      body number (external/swisseph/swephexp.h)
# tjd      Julian day, terrestrial time
# iflag    SEFLG_MOSEPH|SEFLG_SPEED (260), fixed on every row
case_id	ipl	tjd	iflag
NSC|0|2415020.5	0	2415020.5	260
NSC|0|2451545	0	2451545	260
NSC|0|2488069.5	0	2488069.5	260
NSC|1|2415020.5	1	2415020.5	260
NSC|1|2451545	1	2451545	260
NSC|1|2488069.5	1	2488069.5	260
NSC|2|2415020.5	2	2415020.5	260
NSC|2|2451545	2	2451545	260
NSC|2|2488069.5	2	2488069.5	260
NSC|3|2415020.5	3	2415020.5	260
NSC|3|2451545	3	2451545	260
NSC|3|2488069.5	3	2488069.5	260
NSC|4|2415020.5	4	2415020.5	260
NSC|4|2451545	4	2451545	260
NSC|4|2488069.5	4	2488069.5	260
NSC|5|2415020.5	5	2415020.5	260
NSC|5|2451545	5	2451545	260
NSC|5|2488069.5	5	2488069.5	260
NSC|6|2415020.5	6	2415020.5	260
NSC|6|2451545	6	2451545	260
NSC|6|2488069.5	6	2488069.5	260
NSC|7|2415020.5	7	2415020.5	260
NSC|7|2451545	7	2451545	260
NSC|7|2488069.5	7	2488069.5	260
NSC|8|2415020.5	8	2415020.5	260
NSC|8|2451545	8	2451545	260
NSC|8|2488069.5	8	2488069.5	260
NSC|9|2415020.5	9	2415020.5	260
NSC|9|2451545	9	2451545	260
NSC|9|2488069.5	9	2488069.5	260
NSC|10|2415020.5	10	2415020.5	260
NSC|10|2451545	10	2451545	260
NSC|10|2488069.5	10	2488069.5	260
NSC|11|2415020.5	11	2415020.5	260
NSC|11|2451545	11	2451545	260
NSC|11|2488069.5	11	2488069.5	260
NSC|12|2415020.5	12	2415020.5	260
NSC|12|2451545	12	2451545	260
NSC|12|2488069.5	12	2488069.5	260
NSC|13|2415020.5	13	2415020.5	260
NSC|13|2451545	13	2451545	260
NSC|13|2488069.5	13	2488069.5	260
NSC|14|2415020.5	14	2415020.5	260
NSC|14|2451545	14	2451545	260
NSC|14|2488069.5	14	2488069.5	260
NSC|40|2415020.5	40	2415020.5	260
NSC|40|2451545	40	2451545	260
NSC|40|2488069.5	40	2488069.5	260
NSC|41|2415020.5	41	2415020.5	260
NSC|41|2451545	41	2451545	260
NSC|41|2488069.5	41	2488069.5	260
NSC|42|2415020.5	42	2415020.5	260
NSC|42|2451545	42	2451545	260
NSC|42|2488069.5	42	2488069.5	260
NSC|43|2415020.5	43	2415020.5	260
NSC|43|2451545	43	2451545	260
NSC|43|2488069.5	43	2488069.5	260
NSC|44|2415020.5	44	2415020.5	260
NSC|44|2451545	44	2451545	260
NSC|44|2488069.5	44	2488069.5	260
NSC|45|2415020.5	45	2415020.5	260
NSC|45|2451545	45	2451545	260
NSC|45|2488069.5	45	2488069.5	260
NSC|46|2415020.5	46	2415020.5	260
NSC|46|2451545	46	2451545	260
NSC|46|2488069.5	46	2488069.5	260
NSC|47|2415020.5	47	2415020.5	260
NSC|47|2451545	47	2451545	260
NSC|47|2488069.5	47	2488069.5	260
NSC|48|2415020.5	48	2415020.5	260
NSC|48|2451545	48	2451545	260
NSC|48|2488069.5	48	2488069.5	260
NSC|49|2415020.5	49	2415020.5	260
NSC|49|2451545	49	2451545	260
NSC|49|2488069.5	49	2488069.5	260
NSC|50|2415020.5	50	2415020.5	260
NSC|50|2451545	50	2451545	260
NSC|50|2488069.5	50	2488069.5	260
NSC|51|2415020.5	51	2415020.5	260
NSC|51|2451545	51	2451545	260
NSC|51|2488069.5	51	2488069.5	260
NSC|52|2415020.5	52	2415020.5	260
NSC|52|2451545	52	2451545	260
NSC|52|2488069.5	52	2488069.5	260
NSC|53|2415020.5	53	2415020.5	260
NSC|53|2451545	53	2451545	260
NSC|53|2488069.5	53	2488069.5	260
NSC|54|2415020.5	54	2415020.5	260
NSC|54|2451545	54	2451545	260
NSC|54|2488069.5	54	2488069.5	260
NSC|55|2415020.5	55	2415020.5	260
NSC|55|2451545	55	2451545	260
NSC|55|2488069.5	55	2488069.5	260
NSC|56|2415020.5	56	2415020.5	260
NSC|56|2451545	56	2451545	260
NSC|56|2488069.5	56	2488069.5	260
NSC|57|2415020.5	57	2415020.5	260
NSC|57|2451545	57	2451545	260
NSC|57|2488069.5	57	2488069.5	260
NSC|58|2415020.5	58	2415020.5	260
NSC|58|2451545	58	2451545	260
NSC|58|2488069.5	58	2488069.5	260
