# args-grid.tsv -- committed swetest command-line grid for the text-level comparison between
# Astrodienst's swetest and this port's SweTest. Regenerated by
# Tools/SwetestDiff/gen-args-grid.ps1 -- never hand-edit this file; a change here has to come
# from that script, committed together with its regenerated output. See that script's own
# .DESCRIPTION for why each category looks the way it does, including the three genuine port
# defects (a -p body-list truncation, six "argv[i] + N" pointer-arithmetic-as-string-
# concatenation crashes -- five at int.Parse, plus -j throwing downstream in date parsing, the
# same shape one line differently -- and a -house sscanf %c crash) this grid deliberately
# exercises rather than routes around, and why -m/-z/-f/-F are absent from FMT_LETTERS.
#
# scripts/verify-swetest-diff.ps1 runs every row through both
# external/.c-reference/swetest.exe and Programs/SweTest, appending -edir"<path>" itself -- the
# ephemeris directory is a checkout-local path and does not belong in committed data. -head is
# already part of the args column below (every category except HEADER_BLOCK carries it) -- see
# the generator's .DESCRIPTION for why that has to be baked in per row rather than added
# uniformly by the verify script.
#
# COLUMNS (tab-separated, one invocation per line, LF line endings)
#
#   case_id    stable, unique, pipe-delimited id
#   category   groups rows for reporting
#   args       the swetest argument string, everything except -edir<path>
#
# Lines starting with '#' are comments. The first non-comment line is the column-name header
# below and is not a data row -- scripts/verify-swetest-diff.ps1 asserts it matches verbatim.
case_id	category	args
PLANETS|1.1.1900|d|ESWE	PLANETS	-head -b1.1.1900 -pd -fPLBRS -eswe
PLANETS|1.1.1900|p|ESWE	PLANETS	-head -b1.1.1900 -pp -fPLBRS -eswe
PLANETS|1.1.1900|h|ESWE	PLANETS	-head -b1.1.1900 -ph -fPLBRS -eswe
PLANETS|1.1.1900|a|ESWE	PLANETS	-head -b1.1.1900 -pa -fPLBRS -eswe
PLANETS|1.1.1950|d|ESWE	PLANETS	-head -b1.1.1950 -pd -fPLBRS -eswe
PLANETS|1.1.1950|p|ESWE	PLANETS	-head -b1.1.1950 -pp -fPLBRS -eswe
PLANETS|1.1.1950|h|ESWE	PLANETS	-head -b1.1.1950 -ph -fPLBRS -eswe
PLANETS|1.1.1950|a|ESWE	PLANETS	-head -b1.1.1950 -pa -fPLBRS -eswe
PLANETS|1.1.2000|d|ESWE	PLANETS	-head -b1.1.2000 -pd -fPLBRS -eswe
PLANETS|1.1.2000|p|ESWE	PLANETS	-head -b1.1.2000 -pp -fPLBRS -eswe
PLANETS|1.1.2000|h|ESWE	PLANETS	-head -b1.1.2000 -ph -fPLBRS -eswe
PLANETS|1.1.2000|a|ESWE	PLANETS	-head -b1.1.2000 -pa -fPLBRS -eswe
PLANETS|1.1.2024|d|ESWE	PLANETS	-head -b1.1.2024 -pd -fPLBRS -eswe
PLANETS|1.1.2024|p|ESWE	PLANETS	-head -b1.1.2024 -pp -fPLBRS -eswe
PLANETS|1.1.2024|h|ESWE	PLANETS	-head -b1.1.2024 -ph -fPLBRS -eswe
PLANETS|1.1.2024|a|ESWE	PLANETS	-head -b1.1.2024 -pa -fPLBRS -eswe
PLANETS|1.1.2100|d|ESWE	PLANETS	-head -b1.1.2100 -pd -fPLBRS -eswe
PLANETS|1.1.2100|p|ESWE	PLANETS	-head -b1.1.2100 -pp -fPLBRS -eswe
PLANETS|1.1.2100|h|ESWE	PLANETS	-head -b1.1.2100 -ph -fPLBRS -eswe
PLANETS|1.1.2100|a|ESWE	PLANETS	-head -b1.1.2100 -pa -fPLBRS -eswe
PLANETS|1.1.2200|d|ESWE	PLANETS	-head -b1.1.2200 -pd -fPLBRS -eswe
PLANETS|1.1.2200|p|ESWE	PLANETS	-head -b1.1.2200 -pp -fPLBRS -eswe
PLANETS|1.1.2200|h|ESWE	PLANETS	-head -b1.1.2200 -ph -fPLBRS -eswe
PLANETS|1.1.2200|a|ESWE	PLANETS	-head -b1.1.2200 -pa -fPLBRS -eswe
PLANETS|29.2.2000|d|ESWE	PLANETS	-head -b29.2.2000 -pd -fPLBRS -eswe
PLANETS|29.2.2000|p|ESWE	PLANETS	-head -b29.2.2000 -pp -fPLBRS -eswe
PLANETS|29.2.2000|h|ESWE	PLANETS	-head -b29.2.2000 -ph -fPLBRS -eswe
PLANETS|29.2.2000|a|ESWE	PLANETS	-head -b29.2.2000 -pa -fPLBRS -eswe
PLANETS|4.10.1582|d|ESWE	PLANETS	-head -b4.10.1582 -pd -fPLBRS -eswe
PLANETS|4.10.1582|p|ESWE	PLANETS	-head -b4.10.1582 -pp -fPLBRS -eswe
PLANETS|4.10.1582|h|ESWE	PLANETS	-head -b4.10.1582 -ph -fPLBRS -eswe
PLANETS|4.10.1582|a|ESWE	PLANETS	-head -b4.10.1582 -pa -fPLBRS -eswe
PLANETS|15.10.1582|d|ESWE	PLANETS	-head -b15.10.1582 -pd -fPLBRS -eswe
PLANETS|15.10.1582|p|ESWE	PLANETS	-head -b15.10.1582 -pp -fPLBRS -eswe
PLANETS|15.10.1582|h|ESWE	PLANETS	-head -b15.10.1582 -ph -fPLBRS -eswe
PLANETS|15.10.1582|a|ESWE	PLANETS	-head -b15.10.1582 -pa -fPLBRS -eswe
PLANETS|21.6.2012|d|ESWE	PLANETS	-head -b21.6.2012 -pd -fPLBRS -eswe
PLANETS|21.6.2012|p|ESWE	PLANETS	-head -b21.6.2012 -pp -fPLBRS -eswe
PLANETS|21.6.2012|h|ESWE	PLANETS	-head -b21.6.2012 -ph -fPLBRS -eswe
PLANETS|21.6.2012|a|ESWE	PLANETS	-head -b21.6.2012 -pa -fPLBRS -eswe
PLANETS|25.12.1969|d|ESWE	PLANETS	-head -b25.12.1969 -pd -fPLBRS -eswe
PLANETS|25.12.1969|p|ESWE	PLANETS	-head -b25.12.1969 -pp -fPLBRS -eswe
PLANETS|25.12.1969|h|ESWE	PLANETS	-head -b25.12.1969 -ph -fPLBRS -eswe
PLANETS|25.12.1969|a|ESWE	PLANETS	-head -b25.12.1969 -pa -fPLBRS -eswe
PLANETS|11.9.2001|d|ESWE	PLANETS	-head -b11.9.2001 -pd -fPLBRS -eswe
PLANETS|11.9.2001|p|ESWE	PLANETS	-head -b11.9.2001 -pp -fPLBRS -eswe
